id,title,url,score,author,time,num_comments,max_comments
40998927,What Would It Take to Recreate Bell Labs?,https://www.construction-physics.com/p/what-would-it-take-to-recreate-bell,24,nickwritesit,1721330901,12,7
40998158,"Devzat â€“ Chat over SSH, with some nice quality-of-life features",https://github.com/quackduck/devzat,82,humanperhaps,1721325532,32,14
40998941,Why aren't we using SSH for everything? (2015),https://shazow.net/posts/ssh-how-does-it-even/,16,cristoperb,1721330990,0,0
40997087,Polychromatic Pixels,https://compoundsemiconductor.net/article/119170/Polychromatic_pixels,114,bluehat974,1721319101,69,21
40968922,Type in Morse code by repeatedly slamming your laptop shut,https://github.com/veggiedefender/open-and-shut,53,OuterVale,1721058458,16,9
40995515,The Objects of Our Life (1983),https://stevejobsarchive.com/exhibits/objects-of-our-life,167,Brajeshwar,1721310200,76,17
40995982,Hash-based bisect debugging in compilers and runtimes,https://research.swtch.com/bisect,95,rsc,1721313418,4,3
40998647,"USPS shared customer postal addresses with Meta, LinkedIn and Snap",https://techcrunch.com/2024/07/18/usps-shared-customer-postal-addresses-with-meta-linkedin-and-snap/,44,leotravis10,1721328993,13,8
40998931,"A type system for RCL, part 2: The type system",https://ruudvanasseldonk.com/2024/a-type-system-for-rcl-part-2-the-type-system,4,todsacerdoti,1721330915,0,0
40997775,What Materials Are Magnetic?,https://sciencenotes.org/list-of-magnetic-metals/,15,rwmj,1721323135,5,3
